Date,Open,High,Low,Close,Adj Close,Volume
2017-02-22,2106.419922,2108.979980,2101.560059,2106.610107,2106.610107,312200
2017-02-23,2106.149902,2108.989990,2103.110107,2107.629883,2107.629883,430900
2017-02-24,2106.429932,2107.830078,2090.050049,2094.120117,2094.120117,385400
2017-02-27,2095.469971,2097.239990,2084.080078,2085.520020,2085.520020,343700
2017-02-28,2087.260010,2094.409912,2084.360107,2091.639893,2091.639893,399800
2017-03-02,2105.189941,2112.580078,2096.310059,2102.649902,2102.649902,434700
2017-03-03,2090.919922,2091.590088,2072.090088,2078.750000,2078.750000,425900
2017-03-06,2073.199951,2083.800049,2067.679932,2081.360107,2081.360107,431400
2017-03-07,2080.770020,2096.790039,2079.159912,2094.050049,2094.050049,277800
2017-03-08,2092.270020,2101.560059,2088.189941,2095.409912,2095.409912,381400
2017-03-09,2098.290039,2100.080078,2090.729980,2091.060059,2091.060059,408200
2017-03-10,2088.669922,2102.050049,2082.310059,2097.350098,2097.350098,500900
2017-03-13,2102.370117,2122.879883,2100.909912,2117.590088,2117.590088,382100
2017-03-14,2127.120117,2135.500000,2124.419922,2133.780029,2133.780029,365100
2017-03-15,2128.419922,2135.379883,2127.260010,2133.000000,2133.000000,374700
2017-03-16,2154.979980,2156.850098,2143.010010,2150.080078,2150.080078,402400
2017-03-17,2150.469971,2164.590088,2148.860107,2164.580078,2164.580078,302800
2017-03-20,2160.320068,2160.570068,2151.510010,2157.010010,2157.010010,264900
2017-03-21,2162.949951,2181.989990,2160.250000,2178.379883,2178.379883,303900
2017-03-22,2159.969971,2170.000000,2158.959961,2168.300049,2168.300049,394400
2017-03-23,2174.090088,2182.419922,2170.560059,2172.719971,2172.719971,358600
2017-03-24,2171.360107,2179.340088,2163.340088,2168.949951,2168.949951,358700
2017-03-27,2161.169922,2165.250000,2153.139893,2155.659912,2155.659912,395900
2017-03-28,2166.580078,2169.139893,2157.709961,2163.310059,2163.310059,394000
2017-03-29,2172.310059,2172.310059,2162.040039,2166.979980,2166.979980,626800
2017-03-30,2170.179932,2174.159912,2159.159912,2164.639893,2164.639893,643600
2017-03-31,2166.620117,2166.929932,2159.800049,2160.229980,2160.229980,441600
2017-04-03,2166.040039,2171.330078,2161.260010,2167.510010,2167.510010,398500
2017-04-04,2165.229980,2166.939941,2156.889893,2161.100098,2161.100098,522100
2017-04-05,2161.899902,2164.850098,2146.979980,2160.850098,2160.850098,571700
2017-04-06,2152.639893,2153.830078,2143.300049,2152.750000,2152.750000,510200
2017-04-07,2154.870117,2155.699951,2142.510010,2151.729980,2151.729980,408500
2017-04-10,2148.830078,2148.830078,2128.350098,2133.320068,2133.320068,512900
2017-04-11,2129.229980,2136.550049,2117.820068,2123.850098,2123.850098,489300
2017-04-12,2128.169922,2129.820068,2122.939941,2128.909912,2128.909912,427400
2017-04-13,2130.639893,2148.610107,2125.870117,2148.610107,2148.610107,357600
2017-04-14,2138.280029,2141.610107,2127.800049,2134.879883,2134.879883,0
2017-04-17,2140.870117,2150.699951,2138.699951,2145.760010,2145.760010,259300
2017-04-18,2155.360107,2155.360107,2139.310059,2148.459961,2148.459961,291400
2017-04-19,2144.979980,2148.030029,2133.820068,2138.399902,2138.399902,344200
2017-04-20,2138.189941,2150.429932,2134.050049,2149.149902,2149.149902,268300
2017-04-21,2161.239990,2169.459961,2156.639893,2165.040039,2165.040039,281500
2017-04-24,2175.500000,2177.889893,2166.830078,2173.739990,2173.739990,374700
2017-04-25,2175.699951,2196.850098,2174.110107,2196.850098,2196.850098,275900
2017-04-26,2202.370117,2210.610107,2200.729980,2207.840088,2207.840088,397500
2017-04-27,2201.719971,2211.590088,2199.760010,2209.459961,2209.459961,386100
2017-04-28,2214.360107,2217.040039,2202.199951,2205.439941,2205.439941,268600
2017-05-02,2213.610107,2229.739990,2212.870117,2219.669922,2219.669922,295100
2017-05-04,2224.909912,2241.239990,2224.909912,2241.239990,2241.239990,261900
2017-05-08,2245.610107,2292.760010,2244.229980,2292.760010,2292.760010,281800
2017-05-10,2294.100098,2323.219971,2264.310059,2270.120117,2270.120117,422900
2017-05-11,2278.469971,2297.669922,2271.659912,2296.370117,2296.370117,463500
2017-05-12,2296.060059,2296.510010,2283.379883,2286.020020,2286.020020,335300
2017-05-15,2288.229980,2297.310059,2280.600098,2290.649902,2290.649902,251600
2017-05-16,2306.729980,2309.000000,2283.840088,2295.330078,2295.330078,368100
2017-05-17,2291.560059,2295.870117,2283.010010,2293.080078,2293.080078,394800
2017-05-18,2271.270020,2288.850098,2267.080078,2286.820068,2286.820068,378300
2017-05-19,2286.780029,2293.820068,2282.129883,2288.479980,2288.479980,421100
2017-05-22,2300.679932,2305.209961,2292.949951,2304.030029,2304.030029,340100
2017-05-23,2308.689941,2326.570068,2303.149902,2311.739990,2311.739990,341100
2017-05-24,2319.370117,2322.540039,2312.929932,2317.340088,2317.340088,409600
2017-05-25,2325.489990,2343.719971,2321.260010,2342.929932,2342.929932,369300
2017-05-26,2344.389893,2364.800049,2341.610107,2355.300049,2355.300049,312900
2017-05-29,2362.590088,2371.669922,2344.250000,2352.969971,2352.969971,316100
2017-05-30,2356.540039,2358.689941,2332.159912,2343.679932,2343.679932,508800
2017-05-31,2339.250000,2355.229980,2338.250000,2347.379883,2347.379883,555900
2017-06-01,2348.310059,2351.310059,2335.629883,2344.610107,2344.610107,336700
2017-06-02,2353.770020,2372.649902,2353.449951,2371.719971,2371.719971,399500
2017-06-05,2376.659912,2376.830078,2363.610107,2368.620117,2368.620117,326400
2017-06-07,2364.959961,2369.429932,2356.709961,2360.139893,2360.139893,376200
2017-06-08,2361.639893,2365.520020,2347.620117,2363.570068,2363.570068,417100
2017-06-09,2371.219971,2385.149902,2367.810059,2381.689941,2381.689941,520600
2017-06-12,2370.689941,2374.699951,2353.350098,2357.870117,2357.870117,327200
2017-06-13,2358.919922,2375.810059,2358.919922,2374.699951,2374.699951,322100
2017-06-14,2384.540039,2387.290039,2366.919922,2372.639893,2372.639893,393000
2017-06-15,2373.360107,2378.040039,2350.370117,2361.649902,2361.649902,334900
